balancing_area,reserve_type,direction,timepoint,target,day_repeat
system_wide_balancing_area,regulation,up,2023-08-18 08:00,243.82126875651835,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 10:00,255.91067178483988,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 12:00,254.86138878483987,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 14:00,254.0776006848399,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 16:00,252.29959960983044,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 18:00,98.76781623805674,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 20:00,21.02219478,34.6423658872077
system_wide_balancing_area,regulation,up,2023-08-18 22:00,22.72056078,34.6423658872077
system_wide_balancing_area,regulation,up,2023-09-10 00:00,14.818724999999999,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 02:00,12.592924799999999,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 04:00,9.9571836,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 06:00,19.769833977939733,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 08:00,235.73370371759768,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 10:00,242.89782600483989,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 12:00,246.26586900483989,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 14:00,246.91577700483987,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 16:00,236.80195085249935,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 18:00,33.25299850464174,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 20:00,24.178518510000004,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-10 22:00,12.5851035,39.6629986244842
system_wide_balancing_area,regulation,up,2023-09-22 00:00,26.59802061,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 02:00,26.59802061,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 04:00,26.59802061,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 06:00,31.36578094686775,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 08:00,251.55973077521293,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 10:00,260.16914961483985,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 12:00,259.76011278483986,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 14:00,258.33429678483986,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 16:00,251.5547006938951,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 18:00,24.262917780000002,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 20:00,19.76860278,43.1774415405777
system_wide_balancing_area,regulation,up,2023-09-22 22:00,20.07710178,43.1774415405777
system_wide_balancing_area,regulation,up,2023-10-27 00:00,26.59802061,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 02:00,26.59802061,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 04:00,11.658002879999998,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 06:00,26.59802061,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 08:00,247.59360558743435,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 10:00,260.16914961483985,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 12:00,260.16914961483985,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 14:00,260.16914961483985,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 16:00,205.63019338425892,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 18:00,26.59802061,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 20:00,26.59802061,35.646492434663
system_wide_balancing_area,regulation,up,2023-10-27 22:00,26.59802061,35.646492434663
system_wide_balancing_area,regulation,up,2023-11-22 00:00,15.533112,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 02:00,1.7736435480000001,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 04:00,0.0,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 06:00,1.330733952,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 08:00,135.43355265255218,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 10:00,167.90079859798942,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 12:00,197.62345315600462,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 14:00,209.82048887870616,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 16:00,163.8779699812048,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 18:00,14.93323458,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 20:00,21.99781683,7.02888583218705
system_wide_balancing_area,regulation,up,2023-11-22 22:00,2.6853840929999997,7.02888583218705
system_wide_balancing_area,regulation,up,2023-12-15 00:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 02:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 04:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 06:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 08:00,216.60549419049482,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 10:00,260.16914961483985,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 12:00,260.16914961483985,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 14:00,260.16914961483985,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 16:00,205.52144060517207,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 18:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 20:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2023-12-15 22:00,26.59802061,18.57634112792295
system_wide_balancing_area,regulation,up,2025-01-12 00:00,15.49084428,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 02:00,26.59802061,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 04:00,14.38953468,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 06:00,26.59802061,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 08:00,302.0400897583074,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 10:00,335.3231072912799,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 12:00,328.60207709127985,32.1320495185694
system_wide_balancing_area,regulation,up,2025-01-12 14:00,328.6149344912798,32.1320495185694
