PERIOD,Component,AnnualCost_NPV,AnnualCost_Real,Component_type
2046,FuelCostsPerPeriod,46581148.527077466,103470193.0900278,annual
2046,GenVariableOMCostsInTP,27286177.182793915,60610485.380179465,timepoint
2046,Pumped_Hydro_Fixed_Cost_Annual,16068215.441847775,35692150.30010912,annual
2046,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2046,StorageEnergyFixedCost,41631490.52003827,92475572.17765932,annual
2046,TotalGenCapitalCostsSubsidy,-18164729.269322656,-40349113.41510489,annual
2046,TotalGenFixedCosts,389932299.6043897,866152330.0279202,annual
2046,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2047,FuelCostsPerPeriod,30700091.370276704,70239588.6937188,annual
2047,GenVariableOMCostsInTP,26140380.08031191,59807299.04003669,timepoint
2047,Pumped_Hydro_Fixed_Cost_Annual,15600209.166842502,35692150.30010912,annual
2047,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2047,StorageEnergyFixedCost,40092034.30587352,91727674.86501585,annual
2047,TotalGenCapitalCostsSubsidy,-17774989.30305114,-40667889.962384515,annual
2047,TotalGenFixedCosts,401323127.29988587,918198289.8628378,annual
2047,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2048,FuelCostsPerPeriod,20866720.87443189,49173794.63621211,annual
2048,GenVariableOMCostsInTP,25046644.048341107,59024057.40561583,timepoint
2048,Pumped_Hydro_Fixed_Cost_Annual,15145834.142565534,35692150.30010912,annual
2048,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2048,StorageEnergyFixedCost,38609048.26420157,90984751.3592688,annual
2048,TotalGenCapitalCostsSubsidy,-15930204.375125807,-37540570.13410121,annual
2048,TotalGenFixedCosts,412871035.55625695,972957640.8222481,annual
2048,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2049,FuelCostsPerPeriod,14251319.956558721,34591694.095471285,annual
2049,GenVariableOMCostsInTP,24276251.631002676,58924834.52508965,timepoint
2049,Pumped_Hydro_Fixed_Cost_Annual,14704693.342296634,35692150.30010912,annual
2049,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2049,StorageEnergyFixedCost,37180362.18012178,90246497.78504908,annual
2049,TotalGenCapitalCostsSubsidy,-12766925.358758934,-30988678.79579519,annual
2049,TotalGenFixedCosts,425289201.0450623,1032288517.0989155,annual
2049,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
2050,FuelCostsPerPeriod,12293507.52965436,30734756.5499981,annual
2050,GenVariableOMCostsInTP,105786.1122807526,264473.78012149053,timepoint
2050,Pumped_Hydro_Fixed_Cost_Annual,14276401.303200616,35692150.30010912,annual
2050,RFM_Fixed_Costs_Annual,0.0,0.0,annual
2050,StorageEnergyFixedCost,35655321.85594455,89141169.37829646,annual
2050,TotalGenCapitalCostsSubsidy,-11924016.915012151,-29811000.32654893,annual
2050,TotalGenFixedCosts,429985217.3035692,1074997590.5611043,annual
2050,Total_StartupGenCapacity_OM_Costs,0.0,0.0,timepoint
